# codex symbol data (auto-generated from typst/codex)
# format: typst_name<TAB>char
# typst_name is the full dotted path (e.g. arrow.r.double, chess.king.white)
wj	⁠
gt.double.nested	⪢
gt.eq	≥
gt.eq.slant	⩾
gt.eq.lt	⋛
gt.eq.not	≱
gt.equiv	≧
gt.lt	≷
gt.lt.not	≹
gt.neq	⪈
gt.napprox	⪊
gt.nequiv	≩
gt.not	≯
gt.ntilde	⋧
gt.tilde	≳
gt.tilde.not	≵
gt.triple	⋙
gt.triple.nested	⫸
lt	<
lt.o	⧀
lt.dot	⋖
lt.quest	⩻
lt.approx	⪅
lt.arc	⪦
lt.arc.eq	⪨
lt.closed	⊲
lt.closed.eq	⊴
lt.closed.eq.not	⋬
lt.closed.not	⋪
lt.double	≪
lt.double.nested	⪡
lt.eq	≤
lt.eq.slant	⩽
lt.eq.gt	⋚
lt.eq.not	≰
lt.equiv	≦
lt.gt	≶
lt.gt.not	≸
lt.neq	⪇
lt.napprox	⪉
lt.nequiv	≨
lt.not	≮
lt.ntilde	⋦
lt.tilde	≲
lt.tilde.not	≴
lt.triple	⋘
lt.triple.nested	⫷
approx	≈
approx.eq	≊
approx.not	≉
approx.hat	⩯
prec	≺
prec.approx	⪷
prec.curly.eq	≼
prec.curly.eq.not	⋠
prec.double	⪻
prec.eq	⪯
prec.equiv	⪳
prec.napprox	⪹
prec.neq	⪱
prec.nequiv	⪵
prec.not	⊀
prec.ntilde	⋨
prec.tilde	≾
succ	≻
succ.approx	⪸
succ.curly.eq	≽
succ.curly.eq.not	⋡
succ.double	⪼
succ.eq	⪰
succ.equiv	⪴
succ.napprox	⪺
succ.neq	⪲
succ.nequiv	⪶
succ.not	⊁
succ.ntilde	⋩
succ.tilde	≿
equiv	≡
equiv.not	≢
smt	⪪
smt.eq	⪬
lat	⪫
lat.eq	⪭
prop	∝
original	⊶
image	⊷
asymp	≍
asymp.not	≭
emptyset	∅
emptyset.zero	∅︀
emptyset.arrow.r	⦳
emptyset.arrow.l	⦴
emptyset.bar	⦱
emptyset.circle	⦲
emptyset.rev	⦰
nothing	∅
nothing.zero	∅︀
nothing.arrow.r	⦳
nothing.arrow.l	⦴
nothing.bar	⦱
nothing.circle	⦲
nothing.rev	⦰
without	∖
complement	∁
in	∈
in.not	∉
in.rev	∋
in.rev.not	∌
in.rev.small	∍
in.small	∊
subset	⊂
subset.approx	⫉
subset.closed	⫏
subset.closed.eq	⫑
subset.dot	⪽
subset.double	⋐
subset.eq	⊆
subset.eq.dot	⫃
subset.eq.not	⊈
subset.eq.sq	⊑
subset.eq.sq.not	⋢
subset.equiv	⫅
subset.neq	⊊
subset.nequiv	⫋
subset.not	⊄
subset.plus	⪿
subset.sq	⊏
subset.sq.neq	⋤
subset.tilde	⫇
subset.times	⫁
supset	⊃
supset.approx	⫊
supset.closed	⫐
supset.closed.eq	⫒
supset.dot	⪾
supset.double	⋑
supset.eq	⊇
supset.eq.dot	⫄
supset.eq.not	⊉
supset.eq.sq	⊒
supset.eq.sq.not	⋣
supset.equiv	⫆
supset.neq	⊋
supset.nequiv	⫌
supset.not	⊅
supset.plus	⫀
supset.sq	⊐
supset.sq.neq	⋥
supset.tilde	⫈
supset.times	⫂
union	∪
union.serif	∪︀
union.arrow	⊌
union.big	⋃
union.dot	⊍
union.dot.big	⨃
union.double	⋓
union.minus	⩁
union.or	⩅
union.plus	⊎
union.plus.big	⨄
union.sq	⊔
union.sq.serif	⊔︀
union.sq.big	⨆
union.sq.double	⩏
inter	∩
inter.serif	∩︀
inter.and	⩄
inter.big	⋂
inter.dot	⩀
inter.double	⋒
inter.sq	⊓
inter.sq.serif	⊓︀
inter.sq.big	⨅
inter.sq.double	⩎
infinity	∞
infinity.bar	⧞
infinity.incomplete	⧜
infinity.tie	⧝
oo	∞
partial	∂
gradient	∇
nabla	∇
sum	∑
sum.integral	⨋
product	∏
product.co	∐
integral	∫
integral.arrow.hook	⨗
integral.ccw	⨑
integral.cont	∮
integral.cont.ccw	∳
integral.cont.cw	∲
integral.cw	∱
integral.dash	⨍
integral.dash.double	⨎
integral.double	∬
integral.quad	⨌
integral.inter	⨙
integral.slash	⨏
integral.square	⨖
integral.surf	∯
integral.times	⨘
integral.triple	∭
integral.union	⨚
integral.vol	∰
laplace	∆
forall	∀
exists	∃
exists.not	∄
top	⊤
bot	⊥
not	¬
and	∧
and.big	⋀
and.curly	⋏
and.dot	⟑
and.double	⩓
or	∨
or.big	⋁
or.curly	⋎
or.dot	⟇
or.double	⩔
xor	⊕
xor.big	⨁
models	⊧
forces	⊩
forces.not	⊮
therefore	∴
because	∵
qed	∎
mapsto	↦
mapsto.long	⟼
mapsfrom	↤
mapsfrom.long	⟻
compose	∘
compose.o	⊚
convolve	∗
convolve.o	⊛
multimap	⊸
multimap.double	⧟
tiny	⧾
miny	⧿
divides	∣
divides.not	∤
divides.not.rev	⫮
divides.struck	⟊
wreath	≀
angle	∠
angle.acute	⦟
angle.arc	∡
angle.arc.rev	⦛
angle.azimuth	⍼
angle.obtuse	⦦
angle.rev	⦣
angle.right	∟
angle.right.rev	⯾
angle.right.arc	⊾
angle.right.dot	⦝
angle.right.square	⦜
angle.s	⦞
angle.spatial	⟀
angle.spheric	∢
angle.spheric.rev	⦠
angle.spheric.t	⦡
angzarr	⍼
parallel	∥
parallel.struck	⫲
parallel.o	⦷
parallel.eq	⋕
parallel.equiv	⩨
parallel.not	∦
parallel.slanted.eq	⧣
parallel.slanted.eq.tilde	⧤
parallel.slanted.equiv	⧥
parallel.tilde	⫳
perp	⟂
perp.o	⦹
earth	🜨
earth.alt	♁
jupiter	♃
mars	♂︎
mercury	☿
neptune	♆
neptune.alt	⯉
saturn	♄
sun	☉
uranus	⛢
uranus.alt	♅
venus	♀︎
diameter	⌀
interleave	⫴
interleave.big	⫼
interleave.struck	⫵
bowtie.stroked	⋈
bowtie.stroked.big	⨝
bowtie.stroked.big.l	⟕
bowtie.stroked.big.r	⟖
bowtie.stroked.big.l.r	⟗
bowtie.filled	⧓
bowtie.filled.l	⧑
bowtie.filled.r	⧒
hourglass.stroked	⧖
hourglass.filled	⧗
degree	°
smash	⨳
power.standby	⏻
power.on	⏽
power.off	⭘
power.on.off	⏼
power.sleep	⏾
smile	⌣
frown	⌢
afghani	؋
baht	฿
bitcoin	₿
cedi	₵
cent	¢
currency	¤
dollar	$
dong	₫
dorome	߾
dram	֏
euro	€
guarani	₲
hryvnia	₴
kip	₭
lari	₾
lira	₺
manat	₼
naira	₦
pataca	$
peso	$
peso.philippine	₱
pound	£
riel	៛
riyal	⃁
ruble	₽
rupee.indian	₹
rupee.generic	₨
rupee.tamil	௹
rupee.wancho	𞋿
shekel	₪
som	⃀
taka	৳
taman	߿
tenge	₸
togrog	₮
won	₩
yen	¥
yuan	¥
ballot	☐
ballot.cross	☒
ballot.check	☑︎
ballot.check.heavy	🗹
checkmark	✓
checkmark.light	🗸
checkmark.heavy	✔︎
crossmark	✗
crossmark.heavy	✘
floral	❦
floral.l	☙
floral.r	❧
refmark	※
cc	🅭
cc.by	🅯
cc.nc	🄏
cc.nd	⊜
cc.public	🅮
cc.sa	🄎
cc.zero	🄍
copyright	©︎
copyright.sound	℗
copyleft	🄯
trademark	™︎
trademark.registered	®︎
trademark.service	℠
maltese	✠
suit.club.filled	♣︎
suit.club.stroked	♧
suit.diamond.filled	♦︎
suit.diamond.stroked	♢
suit.heart.filled	♥︎
suit.heart.stroked	♡
suit.spade.filled	♠︎
suit.spade.stroked	♤
chess.king.white	♔
chess.king.black	♚
chess.queen.white	♕
chess.queen.black	♛
chess.rook.white	♖
chess.rook.black	♜
chess.bishop.white	♗
chess.bishop.black	♝
chess.knight.white	♘
chess.knight.black	♞
chess.pawn.white	♙
chess.pawn.black	♟︎
note.up	🎜
note.down	🎝
note.whole	𝅝
note.half	𝅗𝅥
note.quarter	𝅘𝅥
note.quarter.alt	♩
note.eighth	𝅘𝅥𝅮
note.eighth.alt	♪
note.eighth.beamed	♫
note.sixteenth	𝅘𝅥𝅯
note.sixteenth.beamed	♬
note.grace	𝆕
note.grace.slash	𝆔
rest.whole	𝄻
rest.multiple	𝄺
rest.multiple.measure	𝄩
rest.half	𝄼
rest.quarter	𝄽
rest.eighth	𝄾
rest.sixteenth	𝄿
natural	♮
natural.t	𝄮
natural.b	𝄯
flat	♭
flat.t	𝄬
flat.b	𝄭
flat.double	𝄫
flat.quarter	𝄳
sharp	♯
sharp.t	𝄰
sharp.b	𝄱
sharp.double	𝄪
sharp.quarter	𝄲
bullet	•
bullet.op	∙
bullet.o	⦿
bullet.stroked	◦
bullet.stroked.o	⦾
bullet.hole	◘
bullet.hyph	⁃
bullet.tri	‣
bullet.l	⁌
bullet.r	⁍
circle.stroked	○
circle.stroked.tiny	∘
circle.stroked.small	⚬
circle.stroked.big	◯
circle.filled	●
circle.filled.tiny	⦁
circle.filled.small	∙
circle.filled.big	⬤
circle.dotted	◌
ellipse.stroked.h	⬭
ellipse.stroked.v	⬯
ellipse.filled.h	⬬
ellipse.filled.v	⬮
triangle.stroked.t	△
triangle.stroked.b	▽
triangle.stroked.r	▷
triangle.stroked.l	◁
triangle.stroked.bl	◺
triangle.stroked.br	◿
triangle.stroked.tl	◸
triangle.stroked.tr	◹
triangle.stroked.small.t	▵
triangle.stroked.small.b	▿
triangle.stroked.small.r	▹
triangle.stroked.small.l	◃
triangle.stroked.rounded	🛆
triangle.stroked.nested	⟁
triangle.stroked.dot	◬
triangle.filled.t	▲
triangle.filled.b	▼
triangle.filled.r	▶︎
triangle.filled.l	◀︎
triangle.filled.bl	◣
triangle.filled.br	◢
triangle.filled.tl	◤
triangle.filled.tr	◥
triangle.filled.small.t	▴
triangle.filled.small.b	▾
triangle.filled.small.r	▸
triangle.filled.small.l	◂
square.stroked	□
square.stroked.tiny	▫︎
square.stroked.small	◽︎
square.stroked.medium	◻︎
square.stroked.big	⬜︎
square.stroked.dotted	⬚
square.stroked.rounded	▢
square.filled	■
square.filled.tiny	▪︎
square.filled.small	◾︎
square.filled.medium	◼︎
square.filled.big	⬛︎
rect.stroked.h	▭
rect.stroked.v	▯
rect.filled.h	▬
rect.filled.v	▮
penta.stroked	⬠
penta.filled	⬟
hexa.stroked	⬡
hexa.filled	⬢
diamond.stroked	◇
diamond.stroked.small	⋄
diamond.stroked.medium	⬦
diamond.stroked.dot	⟐
diamond.filled	◆
diamond.filled.medium	⬥
diamond.filled.small	⬩
lozenge.stroked	◊
lozenge.stroked.small	⬫
lozenge.stroked.medium	⬨
lozenge.filled	⧫
lozenge.filled.small	⬪
lozenge.filled.medium	⬧
parallelogram.stroked	▱
parallelogram.filled	▰
star.op	⋆
star.stroked	☆
star.filled	★
arrow.r	→
arrow.r.long.bar	⟼
arrow.r.bar	↦
arrow.r.curve	⤷
arrow.r.turn	⮎
arrow.r.dashed	⇢
arrow.r.dotted	⤑
arrow.r.double	⇒
arrow.r.double.bar	⤇
arrow.r.double.long	⟹
arrow.r.double.long.bar	⟾
arrow.r.double.not	⇏
arrow.r.double.struck	⤃
arrow.r.filled	➡︎
arrow.r.hook	↪︎
arrow.r.long	⟶
arrow.r.long.squiggly	⟿
arrow.r.loop	↬
arrow.r.not	↛
arrow.r.quad	⭆
arrow.r.squiggly	⇝
arrow.r.stop	⇥
arrow.r.stroked	⇨
arrow.r.struck	⇸
arrow.r.dstruck	⇻
arrow.r.tail	↣
arrow.r.tail.struck	⤔
arrow.r.tail.dstruck	⤕
arrow.r.tilde	⥲
arrow.r.triple	⇛
arrow.r.twohead	↠
arrow.r.twohead.bar	⤅
arrow.r.twohead.struck	⤀
arrow.r.twohead.dstruck	⤁
arrow.r.twohead.tail	⤖
arrow.r.twohead.tail.struck	⤗
arrow.r.twohead.tail.dstruck	⤘
arrow.r.open	⇾
arrow.r.wave	↝
arrow.l	←
arrow.l.bar	↤
arrow.l.curve	⤶
arrow.l.turn	⮌
arrow.l.dashed	⇠
arrow.l.dotted	⬸
arrow.l.double	⇐
arrow.l.double.bar	⤆
arrow.l.double.long	⟸
arrow.l.double.long.bar	⟽
arrow.l.double.not	⇍
arrow.l.double.struck	⤂
arrow.l.filled	⬅︎
arrow.l.hook	↩︎
arrow.l.long	⟵
arrow.l.long.bar	⟻
arrow.l.long.squiggly	⬳
arrow.l.loop	↫
arrow.l.not	↚
arrow.l.quad	⭅
arrow.l.squiggly	⇜
arrow.l.stop	⇤
arrow.l.stroked	⇦
arrow.l.struck	⇷
arrow.l.dstruck	⇺
arrow.l.tail	↢
arrow.l.tail.struck	⬹
arrow.l.tail.dstruck	⬺
arrow.l.tilde	⭉
arrow.l.triple	⇚
arrow.l.twohead	↞
arrow.l.twohead.bar	⬶
arrow.l.twohead.struck	⬴
arrow.l.twohead.dstruck	⬵
arrow.l.twohead.tail	⬻
arrow.l.twohead.tail.struck	⬼
arrow.l.twohead.tail.dstruck	⬽
arrow.l.open	⇽
arrow.l.wave	↜
arrow.t	↑
arrow.t.bar	↥
arrow.t.curve	⤴︎
arrow.t.turn	⮍
arrow.t.dashed	⇡
arrow.t.double	⇑
arrow.t.filled	⬆︎
arrow.t.quad	⟰
arrow.t.stop	⤒
arrow.t.stroked	⇧
arrow.t.struck	⤉
arrow.t.dstruck	⇞
arrow.t.triple	⤊
arrow.t.twohead	↟
arrow.b	↓
arrow.b.bar	↧
arrow.b.curve	⤵︎
arrow.b.turn	⮏
arrow.b.dashed	⇣
arrow.b.double	⇓
arrow.b.filled	⬇︎
arrow.b.quad	⟱
arrow.b.stop	⤓
arrow.b.stroked	⇩
arrow.b.struck	⤈
arrow.b.dstruck	⇟
arrow.b.triple	⤋
arrow.b.twohead	↡
arrow.l.r	↔︎
arrow.l.r.double	⇔
arrow.l.r.double.long	⟺
arrow.l.r.double.not	⇎
arrow.l.r.double.struck	⤄
arrow.l.r.filled	⬌
arrow.l.r.long	⟷
arrow.l.r.not	↮
arrow.l.r.stroked	⬄
arrow.l.r.struck	⇹
arrow.l.r.dstruck	⇼
arrow.l.r.open	⇿
arrow.l.r.wave	↭
arrow.t.b	↕︎
arrow.t.b.double	⇕
arrow.t.b.filled	⬍
arrow.t.b.stroked	⇳
arrow.tr	↗︎
arrow.tr.bar	🢹
arrow.tr.double	⇗
arrow.tr.filled	⬈
arrow.tr.hook	⤤
arrow.tr.stroked	⬀
arrow.br	↘︎
arrow.br.bar	🢺
arrow.br.double	⇘
arrow.br.filled	⬊
arrow.br.hook	⤥
arrow.br.stroked	⬂
arrow.tl	↖︎
arrow.tl.bar	🢸
arrow.tl.double	⇖
arrow.tl.filled	⬉
arrow.tl.hook	⤣
arrow.tl.stroked	⬁
arrow.bl	↙︎
arrow.bl.bar	🢻
arrow.bl.double	⇙
arrow.bl.filled	⬋
arrow.bl.hook	⤦
arrow.bl.stroked	⬃
arrow.tl.br	⤡
arrow.tr.bl	⤢
arrow.ccw	↺
arrow.ccw.half	↶
arrow.cw	↻
arrow.cw.half	↷
arrow.zigzag	↯
arrows.rr	⇉
arrows.ll	⇇
arrows.tt	⇈
arrows.bb	⇊
arrows.lr	⇆
arrows.lr.stop	↹
arrows.rl	⇄
arrows.rl.long	🣐
arrows.tb	⇅
arrows.bt	⇵
arrows.rrr	⇶
arrows.lll	⬱
arrowhead.t	⌃
arrowhead.b	⌄
harpoon.rt	⇀
harpoon.rt.bar	⥛
harpoon.rt.stop	⥓
harpoon.rb	⇁
harpoon.rb.bar	⥟
harpoon.rb.stop	⥗
harpoon.lt	↼
harpoon.lt.bar	⥚
harpoon.lt.stop	⥒
harpoon.lb	↽
harpoon.lb.bar	⥞
harpoon.lb.stop	⥖
harpoon.tl	↿
harpoon.tl.bar	⥠
harpoon.tl.stop	⥘
harpoon.tr	↾
harpoon.tr.bar	⥜
harpoon.tr.stop	⥔
harpoon.bl	⇃
harpoon.bl.bar	⥡
harpoon.bl.stop	⥙
harpoon.br	⇂
harpoon.br.bar	⥝
harpoon.br.stop	⥕
harpoon.lt.rt	⥎
harpoon.lb.rb	⥐
harpoon.lb.rt	⥋
harpoon.lt.rb	⥊
harpoon.tl.bl	⥑
harpoon.tr.br	⥏
harpoon.tl.br	⥍
harpoon.tr.bl	⥌
harpoons.rtrb	⥤
harpoons.blbr	⥥
harpoons.bltr	⥯
harpoons.lbrb	⥧
harpoons.ltlb	⥢
harpoons.ltrb	⇋
harpoons.ltrt	⥦
harpoons.rblb	⥩
harpoons.rtlb	⇌
harpoons.rtlt	⥨
harpoons.tlbr	⥮
harpoons.tltr	⥣
tack.r	⊢
tack.r.not	⊬
tack.r.long	⟝
tack.r.short	⊦
tack.r.double	⊩
tack.r.double.not	⊮
tack.r.triple	⊪
tack.rr	⊨
tack.rr.not	⊭
tack.rr.short	⊧
tack.rr.double	⊫
tack.rr.double.not	⊯
tack.rrr	⫢
tack.l	⊣
tack.l.long	⟞
tack.l.short	⫞
tack.l.double	⫣
tack.ll	⫤
tack.ll.double	⫥
tack.t	⊥
tack.t.big	⟘
tack.t.short	⫠
tack.t.double.short	⫨
tack.tt	⫫
tack.b	⊤
tack.b.big	⟙
tack.b.short	⫟
tack.b.double.short	⫧
tack.bb	⫪
tack.l.r	⟛
zero	0︎
zero.slashed	0︀
alpha	α
beta	β
beta.alt	ϐ
chi	χ
delta	δ
digamma	ϝ
epsilon	ε
epsilon.alt	ϵ
epsilon.alt.rev	϶
eta	η
gamma	γ
iota	ι
iota.inv	℩
kappa	κ
kappa.alt	ϰ
lambda	λ
mu	μ
nu	ν
omega	ω
omicron	ο
phi	φ
phi.alt	ϕ
pi	π
pi.alt	ϖ
psi	ψ
rho	ρ
rho.alt	ϱ
sigma	σ
sigma.alt	ς
tau	τ
theta	θ
theta.alt	ϑ
upsilon	υ
xi	ξ
zeta	ζ
Alpha	Α
Beta	Β
Chi	Χ
Delta	Δ
Digamma	Ϝ
Epsilon	Ε
Eta	Η
Gamma	Γ
Iota	Ι
Kappa	Κ
Lambda	Λ
Mu	Μ
Nu	Ν
Omega	Ω
Omega.inv	℧
Omicron	Ο
Phi	Φ
Pi	Π
Psi	Ψ
Rho	Ρ
Sigma	Σ
Tau	Τ
Theta	Θ
Theta.alt	ϴ
Upsilon	Υ
Xi	Ξ
Zeta	Ζ
sha	ш
Sha	Ш
aleph	א
beth	ב
gimel	ג
daleth	ד
AA	𝔸
BB	𝔹
CC	ℂ
DD	𝔻
EE	𝔼
FF	𝔽
GG	𝔾
HH	ℍ
II	𝕀
JJ	𝕁
KK	𝕂
LL	𝕃
MM	𝕄
NN	ℕ
OO	𝕆
PP	ℙ
QQ	ℚ
RR	ℝ
SS	𝕊
TT	𝕋
UU	𝕌
VV	𝕍
WW	𝕎
XX	𝕏
YY	𝕐
ZZ	ℤ
angstrom	Å
ell	ℓ
pee	℘
planck	ħ
Re	ℜ
Im	ℑ
dotless.i	ı
dotless.j	ȷ
die.six	⚅
die.five	⚄
die.four	⚃
die.three	⚂
die.two	⚁
die.one	⚀
errorbar.square.stroked	⧮
errorbar.square.filled	⧯
errorbar.diamond.stroked	⧰
errorbar.diamond.filled	⧱
errorbar.circle.stroked	⧲
errorbar.circle.filled	⧳
spacebar	␣
gender.female	♀︎
gender.female.double	⚢
gender.female.male	⚤
gender.intersex	⚥
gender.male	♂︎
gender.male.double	⚣
gender.male.female	⚤
gender.male.stroke	⚦
gender.male.stroke.t	⚨
gender.male.stroke.r	⚩
gender.neuter	⚲
gender.trans	⚧︎
control.nul	␀
control.soh	␁
control.stx	␂
control.etx	␃
control.eot	␄
control.enq	␅
control.ack	␆
control.bel	␇
control.bs	␈
control.ht	␉
control.lf	␊
control.vt	␋
control.ff	␌
control.cr	␍
control.so	␎
control.si	␏
control.dle	␐
control.dc.one	␑
control.dc.two	␒
control.dc.three	␓
control.dc.four	␔
control.nak	␕
control.syn	␖
control.etb	␗
control.can	␘
control.em	␙
control.sub	␚
control.esc	␛
control.fs	␜
control.gs	␝
control.rs	␞
control.us	␟
control.sp	␠
control.del	␡
control.nl	␤
